code,name,total_score,close,pct_chg,vol_ratio,weekly_resonance,squeeze_status,chip_90(%),profit_ratio(%),matched_rule,status_tag,bandwidth(%),converged_mas,listing_days,bw_percentile(%)
000504,南华生物,97.0,9.1,10.04,2.1,周线极致收敛,极度挤压(蓄势),10.8,90.5,4线汇聚(涨停豁免向上),涨停+放量双共振,1.64,"MA20,MA30,MA5,MA10",321,40.0
603107,上海汽配,94.0,12.15,4.47,2.71,周线极致收敛,极度挤压(蓄势),10.5,69.1,5线粘合汇聚,标准放量突破,1.56,"MA60,MA5,MA10,MA20,MA30",321,33.3
600626,申达股份,94.0,3.7,3.64,1.54,周线极致收敛,极度挤压(蓄势),11.8,79.4,5线粘合汇聚,标准放量突破,1.16,"MA30,MA5,MA120,MA20,MA10",321,13.3
600449,宁夏建材,94.0,12.76,2.16,1.09,周线极致收敛,极度挤压(蓄势),11.2,67.1,5线粘合汇聚,涨停蓄势(免放量),1.09,"MA60,MA5,MA10,MA20,MA30",321,0.8
301381,赛维时代,91.0,24.01,5.12,1.64,周线多头排列,极度挤压(蓄势),13.2,98.8,4线汇聚(涨停豁免向上),涨停+放量双共振,0.81,"MA10,MA5,MA30,MA20",321,17.5
600606,绿地控股,91.0,1.32,3.13,1.59,周线极致收敛,极度挤压(蓄势),9.5,65.5,5线粘合汇聚,标准放量突破,2.37,"MA60,MA5,MA30,MA20,MA10",321,20.0
002566,益盛药业,91.0,7.02,2.33,0.96,周线极致收敛,极度挤压(蓄势),11.8,75.8,5线粘合汇聚,涨停蓄势(免放量),1.99,"MA5,MA30,MA20,MA10,MA120",321,3.3
688289,圣湘生物,91.0,15.87,1.47,0.93,周线极致收敛,极度挤压(蓄势),10.7,61.4,5线粘合汇聚,涨停蓄势(免放量),2.78,"MA60,MA20,MA5,MA30,MA10",321,8.3
603995,甬金股份,91.0,25.42,1.19,0.84,周线多头排列,极度挤压(蓄势),17.3,90.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.56,"MA10,MA5,MA20,MA30",321,0.0
301207,华兰疫苗,91.0,18.13,0.0,0.97,周线极致收敛,极度挤压(蓄势),9.7,74.7,5线粘合汇聚,涨停蓄势(免放量),2.32,"MA60,MA20,MA10,MA120,MA30",321,18.3
301558,三态股份,90.0,6.75,4.01,1.6,周线极致收敛,极度挤压(蓄势),14.2,81.5,5线粘合汇聚,标准放量突破,2.24,"MA60,MA5,MA10,MA20,MA30",321,40.8
605155,西大门,90.0,14.4,0.35,0.71,周线极致收敛,极度挤压(蓄势),13.8,69.2,5线粘合汇聚,涨停蓄势(免放量),1.18,"MA5,MA20,MA30,MA120,MA10",321,7.5
002468,申通快递,88.0,15.21,6.07,1.93,周线极致收敛,窄轨即将变盘,11.1,75.7,5线粘合汇聚,标准放量突破,2.22,"MA20,MA30,MA10,MA5,MA60",321,15.0
