code,name,close,pct_chg,vol_ratio,matched_rule,status_tag,bandwidth(%),converged_mas,listing_days
300739,明阳电路,26.93,8.68,1.67,4线向上汇聚,标准放量突破,3.9,"MA30,MA250,MA20,MA10",321
688216,气派科技,32.92,6.16,1.94,4线向上汇聚,标准放量突破,2.09,"MA30,MA5,MA10,MA20",321
002735,王子新材,12.5,6.11,2.78,4线向上汇聚,标准放量突破,2.17,"MA30,MA20,MA10,MA5",321
300013,新宁物流,4.46,5.69,2.31,4线向上汇聚,标准放量突破,3.1,"MA120,MA30,MA250,MA20",321
002457,青龙管业,12.71,4.87,1.32,4线向上汇聚,标准放量突破,3.66,"MA30,MA20,MA250,MA120",321
600310,广西能源,4.82,4.1,2.37,4线向上汇聚,标准放量突破,3.53,"MA250,MA20,MA30,MA10",321
600710,苏美达,11.6,3.57,1.7,4线向上汇聚,标准放量突破,2.98,"MA60,MA20,MA30,MA10",321
300008,天海防务,6.79,3.19,1.77,4线向上汇聚,标准放量突破,3.73,"MA30,MA20,MA10,MA5",321
600908,无锡银行,6.06,2.54,1.46,4线向上汇聚,标准放量突破,3.13,"MA60,MA120,MA30,MA20",321
301311,昆船智能,14.32,2.51,1.59,4线向上汇聚,标准放量突破,2.11,"MA30,MA20,MA10,MA5",321
600919,江苏银行,12.62,2.35,1.31,4线向上汇聚,标准放量突破,3.11,"MA30,MA20,MA10,MA5",321
600072,中船科技,9.34,2.08,1.52,4线向上汇聚,标准放量突破,2.83,"MA20,MA30,MA10,MA5",321
600104,上汽集团,11.15,2.01,1.65,4线向上汇聚,标准放量突破,3.56,"MA60,MA20,MA30,MA10",321
601866,中远海发,2.56,1.59,1.43,4线向上汇聚,标准放量突破,3.27,"MA60,MA30,MA20,MA10",321
300332,天壕能源,5.21,1.36,1.99,4线向上汇聚,标准放量突破,3.53,"MA30,MA20,MA10,MA5",321
601577,长沙银行,10.11,0.6,1.36,4线向上汇聚,标准放量突破,3.23,"MA60,MA120,MA250,MA30",321
603601,再升科技,9.96,10.06,2.56,4线汇聚(涨停豁免向上),涨停+放量双共振,0.78,"MA10,MA20,MA5,MA30",321
001299,美能能源,11.83,10.05,1.32,4线汇聚(涨停豁免向上),涨停+放量双共振,3.01,"MA250,MA60,MA30,MA20",321
002531,天顺风能,6.91,10.03,2.01,4线汇聚(涨停豁免向上),涨停+放量双共振,2.26,"MA20,MA10,MA5,MA30",321
002543,万和电气,7.9,10.03,2.13,4线汇聚(涨停豁免向上),涨停+放量双共振,1.7,"MA20,MA120,MA10,MA5",321
601231,环旭电子,27.92,10.01,1.34,4线汇聚(涨停豁免向上),涨停+放量双共振,3.19,"MA5,MA10,MA30,MA20",321
603316,诚邦股份,15.72,10.01,1.14,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.5,"MA30,MA10,MA20,MA5",321
