code,name,total_score,close,pct_chg,vol_ratio,weekly_resonance,squeeze_status,chip_90(%),profit_ratio(%),matched_rule,status_tag,bandwidth(%),converged_mas,listing_days,bw_percentile(%)
002453,华软科技,52.0,5.34,10.1,3.35,周线中性震荡,正常扩张,23.2,83.1,4线汇聚(涨停豁免向上),涨停+放量双共振,3.35,"MA30,MA20,MA10,MA5",320,33.3
300820,英杰电气,52.0,71.43,4.28,1.09,周线中性震荡,正常扩张,26.8,89.4,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.96,"MA30,MA20,MA120,MA60",320,62.5
603293,埃泰克,52.0,37.57,3.58,1.54,周线中性震荡,正常扩张,24.6,45.8,5线粘合汇聚,涨停+放量双共振,1.79,"MA5,MA30,MA20,MA60,MA10",108,34.3
603090,宏盛股份,52.0,39.55,1.7,0.72,周线中性震荡,正常扩张,32.1,41.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),1.39,"MA5,MA10,MA30,MA20",320,43.3
688343,云天励飞-U,51.0,65.6,15.09,2.2,周线中性震荡,低波收口,24.4,56.2,4线汇聚(涨停豁免向上),涨停+放量双共振,3.34,"MA10,MA20,MA5,MA30",320,28.3
001233,海安集团,51.0,45.58,9.99,2.74,周线中性震荡,低波收口,19.5,65.7,4线汇聚(涨停豁免向上),涨停+放量双共振,3.8,"MA5,MA10,MA20,MA60",201,27.5
002213,大为股份,51.0,29.38,3.2,1.12,周线中性震荡,低波收口,21.9,39.3,5线粘合汇聚,涨停蓄势(免放量),2.83,"MA5,MA20,MA30,MA250,MA60",320,19.2
688039,当虹科技,51.0,33.55,2.32,1.31,周线中性震荡,低波收口,17.5,31.3,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.6,"MA5,MA20,MA10,MA30",320,25.0
301111,粤万年青,51.0,22.25,2.06,0.8,周线中性震荡,低波收口,23.2,55.7,5线粘合汇聚,涨停蓄势(免放量),2.97,"MA250,MA60,MA5,MA10,MA30",320,17.5
688320,禾川科技,51.0,33.6,1.76,0.96,周线中性震荡,低波收口,20.4,46.3,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.01,"MA10,MA5,MA60,MA20",320,26.7
603119,浙江荣泰,51.0,55.06,1.31,1.29,周线中性震荡,低波收口,23.4,55.8,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.33,"MA30,MA10,MA60,MA5",320,15.8
603200,上海洗霸,51.0,40.13,0.58,0.72,周线中性震荡,低波收口,25.8,52.3,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.81,"MA60,MA10,MA5,MA30",320,30.0
000859,国风新材,51.0,9.44,-0.32,0.64,周线中性震荡,低波收口,18.2,52.3,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.13,"MA20,MA10,MA30,MA250",320,25.0
603285,键邦股份,51.0,37.86,-0.37,0.67,周线中性震荡,低波收口,24.2,65.6,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.6,"MA20,MA30,MA10,MA60",320,29.2
688261,东微半导,49.0,81.37,15.16,2.81,周线中性震荡,正常扩张,20.8,66.8,4线汇聚(涨停豁免向上),涨停+放量双共振,3.43,"MA10,MA20,MA5,MA30",320,37.5
