symbol,name,close,pct_chg,vol_ratio,matched_rule,bandwidth,converged_mas,listing_days
sz002204,大连重工,5.89,10.09,2.62,Rule_A_5Lines_Cluster,2.4,"MA20,MA60,MA10,MA30,MA5",321
sh600488,津药药业,5.9,10.07,2.52,Rule_A_5Lines_Cluster,3.28,"MA10,MA5,MA60,MA20,MA120",321
sh600876,凯盛新能,7.91,10.01,2.32,Rule_A_5Lines_Cluster,3.17,"MA60,MA30,MA20,MA10,MA5",321
sz000722,湖南发展,14.74,10.0,1.72,Rule_A_5Lines_Cluster,3.34,"MA60,MA20,MA250,MA30,MA10",321
sh603318,水发燃气,10.35,9.99,1.72,Rule_A_5Lines_Cluster,3.47,"MA30,MA120,MA5,MA20,MA10",321
sh600812,华北制药,5.18,7.92,3.4,Rule_A_5Lines_Cluster,2.78,"MA60,MA10,MA5,MA120,MA20",321
sh600101,明星电力,8.49,6.79,3.16,Rule_A_5Lines_Cluster,1.99,"MA20,MA10,MA5,MA30,MA60",321
sh600505,西昌电力,11.39,5.86,2.89,Rule_A_5Lines_Cluster,3.02,"MA20,MA10,MA5,MA30,MA60",321
sz000889,中嘉博创,4.2,5.53,2.73,Rule_A_5Lines_Cluster,2.21,"MA120,MA30,MA20,MA5,MA10",321
sz300051,琏升科技,8.5,4.55,1.96,Rule_A_5Lines_Cluster,1.92,"MA5,MA10,MA60,MA20,MA30",321
sz000537,绿发电力,8.03,4.15,2.06,Rule_A_5Lines_Cluster,2.87,"MA10,MA60,MA5,MA20,MA30",321
sz002242,九阳股份,8.85,4.12,2.24,Rule_A_5Lines_Cluster,3.01,"MA10,MA60,MA5,MA20,MA30",321
sz300235,方直科技,11.62,4.03,2.14,Rule_A_5Lines_Cluster,3.3,"MA20,MA30,MA10,MA5,MA60",321
sh601061,中信金属,12.64,3.78,1.62,Rule_A_5Lines_Cluster,2.56,"MA10,MA20,MA5,MA30,MA120",321
sz300863,卡倍亿,42.72,3.51,1.54,Rule_A_5Lines_Cluster,3.09,"MA30,MA250,MA5,MA10,MA20",321
sh600582,天地科技,4.94,3.35,2.18,Rule_A_5Lines_Cluster,1.3,"MA5,MA60,MA10,MA20,MA30",321
