symbol,name,close,pct_chg,vol_ratio,matched_rule,bandwidth,converged_mas,listing_days
sz002140,东华科技,9.61,3.11,2.5,Rule_A_5Lines_Cluster,2.69,"MA60,MA30,MA20,MA10,MA5",321
sz002108,沧州明珠,4.5,2.97,2.26,Rule_A_5Lines_Cluster,2.11,"MA60,MA30,MA20,MA5,MA10",321
sz300414,中光防雷,11.57,2.84,1.67,Rule_A_5Lines_Cluster,2.72,"MA60,MA20,MA10,MA30,MA5",321
sz002508,老板电器,16.33,2.51,1.73,Rule_A_5Lines_Cluster,2.57,"MA60,MA10,MA30,MA5,MA20",321
sh600917,重庆燃气,5.17,2.17,2.43,Rule_A_5Lines_Cluster,3.35,"MA30,MA20,MA10,MA5,MA120",321
sz000601,韶能股份,6.45,2.06,2.16,Rule_A_5Lines_Cluster,2.67,"MA10,MA20,MA5,MA30,MA60",321
sz002613,北玻股份,3.53,2.02,2.42,Rule_A_5Lines_Cluster,2.25,"MA30,MA20,MA5,MA10,MA60",321
sz300422,博世科,4.4,1.85,1.68,Rule_A_5Lines_Cluster,3.3,"MA20,MA10,MA5,MA30,MA60",321
sh688267,中触媒,19.63,1.76,1.63,Rule_A_5Lines_Cluster,2.76,"MA60,MA30,MA20,MA10,MA5",321
sz002434,万里扬,5.98,1.7,1.93,Rule_A_5Lines_Cluster,0.57,"MA30,MA20,MA10,MA60,MA5",321
sz000862,银星能源,5.54,1.65,1.92,Rule_A_5Lines_Cluster,3.08,"MA60,MA20,MA10,MA5,MA30",321
sz000037,深南电A,9.62,1.58,2.31,Rule_A_5Lines_Cluster,1.69,"MA60,MA5,MA10,MA20,MA250",321
sh601218,吉鑫科技,4.63,1.54,1.71,Rule_A_5Lines_Cluster,3.01,"MA60,MA20,MA10,MA5,MA30",321
sh600979,广安爱众,4.1,1.49,2.03,Rule_A_5Lines_Cluster,1.54,"MA20,MA60,MA30,MA10,MA5",321
sz300569,天能重工,4.81,1.48,1.64,Rule_A_5Lines_Cluster,1.53,"MA10,MA20,MA5,MA60,MA30",321
sz002510,天汽模,5.74,1.41,1.95,Rule_A_5Lines_Cluster,2.4,"MA60,MA20,MA30,MA5,MA10",321
sz301559,中集环科,13.48,1.35,2.15,Rule_A_5Lines_Cluster,2.71,"MA60,MA20,MA30,MA10,MA5",321
sz003037,三和管桩,5.9,0.85,2.12,Rule_A_5Lines_Cluster,2.92,"MA60,MA30,MA20,MA10,MA5",321
sh600982,宁波能源,5.05,0.8,1.73,Rule_A_5Lines_Cluster,1.64,"MA20,MA10,MA60,MA5,MA250",321
sh600789,鲁抗医药,7.78,0.78,1.81,Rule_A_5Lines_Cluster,2.09,"MA30,MA20,MA120,MA10,MA5",321
sh603051,鹿山新材,22.54,0.76,1.51,Rule_A_5Lines_Cluster,3.11,"MA30,MA20,MA120,MA10,MA5",321
sz000966,长源电力,4.17,0.72,1.51,Rule_A_5Lines_Cluster,1.8,"MA20,MA10,MA5,MA60,MA30",321
sh603053,成都燃气,9.05,0.67,1.71,Rule_A_5Lines_Cluster,2.83,"MA60,MA20,MA30,MA10,MA5",321
sz002174,游族网络,13.64,10.0,2.16,Rule_B_4Lines_Upward,2.18,"MA60,MA10,MA30,MA20",321
sz002912,中新赛克,21.37,9.98,2.8,Rule_B_4Lines_Upward,2.42,"MA20,MA30,MA10,MA5",321
sz300739,明阳电路,26.93,8.68,1.67,Rule_B_4Lines_Upward,3.9,"MA30,MA250,MA20,MA10",321
sh603657,春光科技,28.95,6.63,1.79,Rule_B_4Lines_Upward,0.43,"MA10,MA120,MA30,MA20",321
sh688216,气派科技,32.92,6.16,1.94,Rule_B_4Lines_Upward,2.09,"MA30,MA5,MA10,MA20",321
sz002735,王子新材,12.5,6.11,2.78,Rule_B_4Lines_Upward,2.17,"MA30,MA20,MA10,MA5",321
sz300013,新宁物流,4.46,5.69,2.31,Rule_B_4Lines_Upward,3.1,"MA120,MA30,MA250,MA20",321
sz003029,吉大正元,18.33,4.86,3.01,Rule_B_4Lines_Upward,3.47,"MA20,MA30,MA10,MA5",321
sh600310,广西能源,4.82,4.1,2.37,Rule_B_4Lines_Upward,3.53,"MA250,MA20,MA30,MA10",321
sh600710,苏美达,11.6,3.57,1.7,Rule_B_4Lines_Upward,2.98,"MA60,MA20,MA30,MA10",321
sz300008,天海防务,6.79,3.19,1.77,Rule_B_4Lines_Upward,3.73,"MA30,MA20,MA10,MA5",321
sz301311,昆船智能,14.32,2.51,1.59,Rule_B_4Lines_Upward,2.11,"MA30,MA20,MA10,MA5",321
sz002077,大港股份,14.05,2.26,2.25,Rule_B_4Lines_Upward,3.72,"MA30,MA20,MA10,MA5",321
sh600072,中船科技,9.34,2.08,1.52,Rule_B_4Lines_Upward,2.83,"MA20,MA30,MA10,MA5",321
sh600104,上汽集团,11.15,2.01,1.65,Rule_B_4Lines_Upward,3.56,"MA60,MA20,MA30,MA10",321
sh600671,天目药业,23.03,1.95,1.54,Rule_B_4Lines_Upward,3.56,"MA20,MA30,MA10,MA5",321
sz300332,天壕能源,5.21,1.36,1.99,Rule_B_4Lines_Upward,3.53,"MA30,MA20,MA10,MA5",321
