代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
601688,华泰证券,次新,突破初现,66.6,否,无,是,是,32.4,是,否,1.06,19.56,19.35,19.52,1.07,2.28
600446,金证股份,次新,临界变盘,66.6,否,无,是,是,46.9,否,是,1.28,11.18,11.34,11.37,-1.38,1.97
600575,淮河能源,次新,回踩确认,66.4,否,无,是,是,31.7,是,否,1.0,3.29,3.33,3.34,-1.28,2.18
300871,回盛生物,次新,回踩确认,66.3,否,无,是,是,39.7,否,是,1.46,23.17,23.03,23.34,0.59,2.87
002597,金禾实业,次新,临界变盘,66.3,否,无,是,是,36.6,否,是,1.55,21.07,21.18,20.96,-0.51,2.96
688566,吉贝尔,次新,回踩确认,66.3,否,无,是,是,31.6,是,否,0.82,25.58,25.94,25.95,-1.39,2.1
600496,精工钢构,次新,临界变盘,66.3,否,无,是,是,33.3,否,是,1.29,3.34,3.42,3.34,-2.31,1.15
300185,通裕重工,次新,回踩确认,66.2,否,无,是,是,41.8,是,否,1.03,2.7,2.75,2.66,-1.68,1.82
600125,铁龙物流,次新,临界变盘,66.1,是,Fib-55x2(110K),是,是,29.4,否,否,1.32,5.43,5.5,5.52,-1.19,0.39
002398,垒知集团,次新,临界变盘,66.0,否,无,是,是,49.6,否,是,1.33,4.24,4.25,4.26,-0.33,3.28
920069,普昂医疗,次新,回踩确认,65.5,是,Fib-55x2(110K),是,是,37.6,否,否,0.44,33.45,33.12,33.25,1.0,0.82
300059,东方财富,次新,临界变盘,65.5,否,无,是,是,33.0,否,是,1.29,19.15,19.53,19.39,-1.94,1.84
600317,营口港,次新,临界变盘,65.5,是,Sym-42x3(126K),是,否,20.7,否,是,1.96,2.6,2.66,2.66,-2.18,1.64
000777,中核科技,次新,回踩确认,65.3,是,Sym-39x4(156K),是,是,50.6,否,否,1.19,16.99,16.98,17.01,0.04,1.86
002797,第一创业,次新,临界变盘,65.3,否,无,是,是,25.1,是,否,1.06,6.56,6.73,6.72,-2.47,1.39
600170,上海建工,次新,突破初现,65.2,是,Fib-144K,是,是,34.1,否,否,1.08,2.28,2.27,2.28,0.52,1.42
002191,劲嘉股份,次新,临界变盘,65.2,否,无,是,是,27.3,是,否,0.81,3.64,3.72,3.69,-2.27,1.67
301011,华立科技,次新,临界变盘,64.9,否,无,是,是,55.6,否,是,1.33,15.28,15.62,14.78,-2.17,1.85
600710,苏美达,次新,突破初现,64.8,否,无,是,是,37.1,否,是,1.5,10.7,10.41,10.59,2.81,1.26
000625,长安汽车,次新,临界变盘,64.7,否,无,是,是,46.2,否,是,1.71,7.12,7.22,7.22,-1.32,2.79
601669,中国电建,次新,回踩确认,64.6,否,无,是,是,36.1,否,是,1.28,4.63,4.54,4.54,1.95,2.22
