代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
601377,兴业证券,常规,突破初现,84.5,是,Fib-55x3(165K),是,否,29.4,是,是,1.61,5.96,5.93,5.82,0.57,1.64
600779,水井坊,常规,回踩确认,76.2,是,Fib-144K,是,是,43.1,否,是,1.42,27.19,27.38,27.51,-0.69,2.85
688009,中国通号,常规,突破初现,74.5,否,无,是,否,26.1,是,是,1.31,4.96,4.94,5.0,0.37,1.83
000993,闽东电力,常规,临界变盘,73.4,是,Fib-55x2(110K),是,是,47.3,否,是,2.86,10.73,11.0,10.99,-2.41,2.23
600299,安迪苏,常规,回踩确认,73.2,否,无,是,是,53.7,否,是,1.37,8.57,8.56,8.56,0.1,0.63
605369,拱东医疗,常规,回踩确认,72.8,否,无,是,否,34.5,是,是,1.89,16.91,16.8,16.83,0.68,2.21
301263,泰恩康,常规,回踩确认,72.3,是,Fib-144K,是,是,41.1,否,是,2.04,19.6,19.82,19.56,-1.11,3.98
300231,银信科技,常规,回踩确认,70.8,是,Fib-55x2(110K),否,是,42.9,否,是,1.32,8.5,8.52,0.0,-0.21,1.48
601696,中银证券,常规,临界变盘,70.3,是,Fib-55x3(165K),是,否,36.3,否,是,1.65,12.12,12.15,11.9,-0.24,1.63
002438,江苏神通,常规,突破初现,70.1,否,无,是,是,42.7,否,是,6.29,14.53,14.42,14.5,0.75,1.2
300132,诺斯贝尔,常规,回踩确认,70.0,是,Fib-89K,是,是,45.5,是,否,1.24,6.36,6.23,6.3,2.05,3.98
300925,法本信息,常规,突破初现,69.4,否,无,是,是,51.1,否,是,1.81,14.96,14.91,14.81,0.32,1.91
000799,酒鬼酒,常规,回踩确认,69.2,否,无,是,是,46.3,否,是,1.79,39.38,39.47,39.45,-0.23,2.08
002204,大连重工,常规,回踩确认,68.8,否,无,是,是,39.3,否,是,1.26,5.17,5.15,5.13,0.35,2.11
600702,舍得酒业,常规,回踩确认,68.3,否,无,是,是,53.1,否,是,1.56,35.66,35.7,35.76,-0.11,2.57
601877,正泰电器,常规,回踩确认,67.1,否,无,是,是,43.9,否,是,1.99,25.87,25.45,25.49,1.64,1.5
300541,先进数通,常规,回踩确认,66.6,否,无,是,是,45.1,否,是,1.6,10.14,10.01,10.08,1.26,2.11
600469,风神股份,常规,回踩确认,66.4,是,Fib-144K,是,是,39.0,否,否,0.78,5.21,5.2,5.23,0.14,1.28
603383,顶点软件,常规,临界变盘,66.4,否,无,是,是,39.9,否,是,2.13,29.25,29.24,29.6,0.05,3.4
605011,杭州热电,常规,临界变盘,66.4,否,无,是,否,36.4,是,是,1.65,17.15,17.63,16.59,-2.7,2.73
300871,回盛生物,常规,回踩确认,66.3,否,无,是,是,39.7,否,是,1.46,23.17,23.03,23.34,0.59,2.87
300185,通裕重工,常规,回踩确认,66.1,否,无,是,是,41.8,是,否,1.03,2.7,2.75,2.66,-1.68,1.86
300872,天阳科技,常规,突破初现,65.9,否,无,是,是,40.9,否,是,2.01,16.04,15.97,15.63,0.42,3.22
920069,普昂医疗,次新,回踩确认,65.5,是,Fib-55x2(110K),是,是,37.6,否,否,0.44,33.45,33.12,33.25,1.0,0.82
000625,长安汽车,常规,临界变盘,64.7,否,无,是,是,46.2,否,是,1.71,7.12,7.22,7.22,-1.32,2.79
300888,稳健医疗,常规,突破初现,64.5,否,无,是,是,39.8,否,是,1.27,29.6,29.11,29.48,1.67,2.53
688639,华恒生物,常规,回踩确认,64.3,否,无,是,是,66.7,否,是,1.31,17.7,17.37,17.42,1.91,2.37
000777,中核科技,常规,回踩确认,64.2,是,Sym-39x4(156K),是,是,50.6,否,否,1.19,16.99,16.98,17.01,0.04,2.27
301558,三态股份,常规,临界变盘,64.0,否,无,是,是,41.5,否,是,1.77,6.63,6.73,6.74,-1.55,2.85
601908,京运通,常规,回踩确认,63.7,是,Fib-55x2(110K),是,是,47.7,否,否,0.93,2.97,2.96,2.98,0.29,2.24
603300,海南华铁,常规,回踩确认,63.4,是,Fib-55x3(165K),否,是,50.4,否,是,1.52,4.9,5.02,0.0,-2.36,2.27
600550,保变电气,常规,回踩确认,63.0,否,无,是,是,48.9,否,是,2.07,11.1,11.16,10.77,-0.57,4.21
300146,汤臣倍健,常规,临界变盘,62.6,是,Sym-49x4(196K),是,否,29.8,否,是,1.5,9.87,10.19,9.78,-3.12,1.85
600446,金证股份,常规,临界变盘,62.3,否,无,是,是,46.9,否,是,1.28,11.18,11.34,11.37,-1.38,3.7
300092,科新机电,常规,回踩确认,62.2,是,Sym-41x3(123K),是,是,50.5,否,否,0.88,11.76,11.67,11.75,0.73,2.41
001328,登康口腔,常规,临界变盘,61.9,否,无,是,是,44.1,否,是,1.28,30.31,30.66,30.74,-1.13,4.11
301011,华立科技,常规,临界变盘,61.8,否,无,是,是,55.6,否,是,1.33,15.28,15.62,14.78,-2.17,3.12
001257,盛龙股份,次新,临界变盘,61.8,是,Fib-55K,否,是,38.8,是,否,1.11,24.01,24.69,0.0,-2.77,2.51
600816,建元信托,常规,回踩确认,61.5,否,无,是,否,29.6,是,否,1.13,2.5,2.49,2.53,0.41,0.97
603357,设计总院,常规,突破初现,61.5,否,无,是,否,35.4,否,是,1.31,6.1,6.08,6.08,0.3,1.09
002236,大华股份,常规,回踩确认,61.5,否,无,是,否,25.0,是,否,0.92,16.31,16.27,16.33,0.25,1.17
301229,纽泰格,常规,临界变盘,61.1,是,Fib-55x3(165K),是,是,56.8,否,否,1.27,12.31,12.33,11.97,-0.15,3.43
002967,广电计量,常规,临界变盘,60.6,否,无,否,是,40.2,否,是,2.0,17.67,17.68,0.0,-0.07,1.7
600373,中文传媒,常规,突破初现,60.5,否,无,是,是,45.0,否,是,1.27,7.42,7.2,7.37,3.03,2.76
300130,新国都,常规,突破初现,60.4,否,无,是,是,47.1,否,是,1.85,20.22,19.95,20.3,1.36,4.46
601456,国联民生,常规,突破初现,60.4,否,无,是,否,23.7,否,是,1.31,8.93,8.87,8.8,0.72,1.1
301299,卓创资讯,常规,临界变盘,60.2,否,无,是,是,49.1,否,是,1.45,45.88,46.57,46.54,-1.48,4.46
000400,许继电气,常规,回踩确认,60.0,否,无,是,是,43.7,否,是,3.04,21.92,21.4,21.9,2.44,4.05
300803,指南针,常规,突破初现,60.0,否,无,是,是,53.0,否,是,1.71,88.09,86.01,85.39,2.42,3.66
003029,吉大正元,常规,突破初现,60.0,否,无,是,是,50.0,否,是,1.6,17.6,17.24,17.01,2.1,4.36
300531,优博讯,常规,突破初现,60.0,否,无,否,否,32.9,是,是,2.19,17.06,16.99,0.0,0.43,3.58
600612,老凤祥,常规,回踩确认,60.0,是,Fib-144K,是,是,40.6,否,否,0.83,33.8,33.84,34.07,-0.12,3.9
001285,瑞立科密,次新,临界变盘,60.0,否,无,是,是,40.4,否,是,1.6,44.4,45.9,45.95,-3.27,4.62
002101,广东鸿图,常规,临界变盘,59.9,是,Sym-50x4(200K),是,是,42.5,否,否,1.05,8.73,8.99,8.74,-2.86,1.18
600163,中闽能源,常规,突破初现,59.4,是,Fib-55x2(110K),是,是,47.2,否,否,0.94,5.26,5.12,5.14,2.67,1.59
600173,卧龙新能,常规,临界变盘,59.4,是,Fib-144K,是,是,41.8,否,否,1.25,6.17,6.32,6.1,-2.4,1.83
002152,广电运通,常规,回踩确认,59.3,否,无,是,否,35.7,否,是,1.67,9.85,9.76,9.65,0.93,1.37
688588,凌志软件,常规,临界变盘,59.0,否,无,否,是,52.8,否,是,2.44,9.72,9.71,0.0,0.05,2.36
002310,东方新能,常规,回踩确认,59.0,是,Fib-55x2(110K),是,是,51.6,否,否,1.28,2.3,2.3,2.29,-0.02,4.37
002097,山河智能,常规,临界变盘,58.8,否,无,否,是,49.3,否,是,1.39,7.48,7.53,0.0,-0.69,1.8
000862,银星能源,常规,回踩确认,58.7,是,Fib-55x2(110K),是,是,52.3,否,否,1.03,5.25,5.2,5.29,0.94,3.59
605333,沪光股份,常规,回踩确认,58.7,是,Fib-55x3(165K),是,是,52.4,否,否,0.69,17.49,17.78,17.03,-1.61,2.92
301589,诺瓦星云,常规,临界变盘,58.6,否,无,否,是,41.8,否,是,1.26,144.0,144.59,0.0,-0.41,2.15
603059,倍加洁,常规,突破初现,58.0,是,Sym-47x3(141K),是,是,50.3,否,否,0.87,25.02,24.38,24.64,2.63,2.18
300650,太龙股份,常规,回踩确认,58.0,是,Fib-144K,是,是,57.3,否,否,0.72,11.7,11.75,11.78,-0.39,4.42
688581,安杰思,常规,回踩确认,57.6,否,无,是,否,33.2,是,否,0.81,51.06,51.39,52.26,-0.63,2.33
600231,凌钢股份,常规,临界变盘,57.5,是,Fib-144K,是,是,42.4,否,否,0.73,1.75,1.78,1.78,-1.5,3.49
603194,中力股份,常规,临界变盘,57.4,否,无,是,否,26.9,是,否,1.11,34.29,34.7,34.73,-1.18,1.84
600009,上海机场,常规,突破初现,57.3,否,无,是,否,36.0,否,是,1.52,23.87,23.44,23.31,1.86,1.23
688334,西高院,常规,临界变盘,57.3,否,无,是,是,40.5,否,否,1.5,18.4,18.4,18.23,-0.01,1.07
601702,华峰铝业,常规,回踩确认,57.2,是,Fib-144K,是,是,50.9,否,否,0.68,15.75,15.93,16.07,-1.13,3.97
002372,伟星新材,常规,临界变盘,57.2,是,Fib-144K,是,是,39.8,否,否,0.67,8.67,8.82,8.47,-1.7,3.42
600072,中船科技,常规,临界变盘,57.2,否,无,否,是,45.6,否,是,2.83,9.07,9.27,0.0,-2.19,0.93
300466,赛摩智能,常规,临界变盘,57.0,是,Fib-144K,是,是,43.6,否,否,0.93,7.41,7.56,7.47,-1.98,3.23
603656,泰禾智能,常规,回踩确认,56.9,是,Fib-144K,是,否,38.0,否,否,1.14,17.21,17.31,17.36,-0.59,0.66
300047,天源迪科,常规,回踩确认,56.7,否,无,否,是,48.7,否,是,1.66,9.49,9.45,0.0,0.41,2.93
300127,银河磁体,常规,回踩确认,56.7,是,Fib-144K,是,是,48.5,否,否,1.33,24.26,24.46,24.97,-0.83,4.48
603018,华设集团,常规,突破初现,56.5,是,Fib-144K,是,否,29.2,否,否,1.14,5.31,5.25,5.26,1.06,0.32
601608,中信重工,常规,回踩确认,56.5,否,无,是,是,48.8,否,否,1.18,4.8,4.77,4.81,0.72,0.67
600575,淮河能源,常规,回踩确认,56.4,否,无,是,否,31.7,是,否,1.0,3.29,3.33,3.34,-1.28,2.18
002597,金禾实业,常规,临界变盘,56.3,否,无,是,否,36.6,否,是,1.55,21.07,21.18,20.96,-0.51,2.96
920160,北矿检测,次新,回踩确认,56.0,否,无,是,是,44.7,否,否,0.3,19.6,19.46,19.69,0.72,0.87
603312,西典新能,常规,临界变盘,55.9,是,Sym-49x4(196K),是,是,54.5,否,否,1.21,31.99,32.8,31.86,-2.46,3.19
688566,吉贝尔,常规,回踩确认,55.8,否,无,是,否,31.6,是,否,0.82,25.58,25.94,25.95,-1.39,2.28
300406,九强生物,常规,回踩确认,55.6,否,无,是,否,31.8,是,否,1.07,11.78,11.62,11.68,1.37,2.4
002268,电科网安,常规,临界变盘,55.4,否,无,是,是,49.2,否,否,1.23,14.22,14.29,13.82,-0.49,1.35
002797,第一创业,常规,临界变盘,55.3,否,无,是,否,25.1,是,否,1.06,6.56,6.73,6.72,-2.47,1.39
600170,上海建工,常规,突破初现,55.2,是,Fib-144K,是,否,34.1,否,否,1.08,2.28,2.27,2.28,0.52,1.42
300904,威力传动,常规,临界变盘,55.2,否,无,是,否,58.3,否,是,1.29,41.09,41.68,41.5,-1.41,2.5
002540,亚太科技,常规,临界变盘,55.0,是,Fib-144K,是,是,43.5,否,否,0.57,5.14,5.24,5.24,-1.97,4.51
000707,双环科技,常规,临界变盘,55.0,是,Sym-31x4(124K),是,是,41.6,否,否,1.04,4.64,4.74,4.73,-2.01,4.52
603809,豪能股份,常规,回踩确认,54.5,否,无,是,是,45.9,否,否,1.76,8.86,8.86,8.89,0.05,2.15
000415,渤海租赁,常规,临界变盘,54.5,否,无,是,否,35.4,否,是,1.45,4.56,4.62,4.57,-1.25,2.95
300926,博俊科技,常规,回踩确认,54.4,否,无,是,是,52.1,否,否,0.94,17.69,17.64,17.21,0.3,1.95
600496,精工钢构,常规,临界变盘,54.4,否,无,是,否,33.3,否,是,1.29,3.34,3.42,3.34,-2.31,1.95
601669,中国电建,常规,回踩确认,54.2,否,无,是,否,36.1,否,是,1.28,4.63,4.54,4.54,1.95,2.36
688271,联影医疗,常规,回踩确认,54.2,否,无,是,否,36.5,否,是,2.15,108.58,107.84,108.81,0.69,3.62
601238,广汽集团,常规,回踩确认,54.2,否,无,是,是,49.6,否,否,0.86,5.17,5.21,5.22,-0.72,1.62
600125,铁龙物流,常规,临界变盘,54.2,是,Fib-55x2(110K),是,否,29.4,否,否,1.32,5.43,5.5,5.52,-1.19,1.13
002123,梦网科技,常规,回踩确认,54.0,否,无,是,是,51.9,否,否,0.92,8.24,8.22,8.28,0.29,2.1
601500,通用股份,常规,临界变盘,54.0,是,Fib-55x3(165K),是,否,32.4,否,否,1.1,3.96,3.98,4.1,-0.39,2.01
601688,华泰证券,常规,突破初现,53.9,否,无,是,否,32.4,是,否,1.06,19.56,19.35,19.52,1.07,3.35
600710,苏美达,常规,突破初现,53.8,否,无,是,否,37.1,否,是,1.5,10.7,10.41,10.59,2.81,1.67
300287,飞利信,常规,回踩确认,53.8,否,无,是,是,50.0,否,否,1.0,3.68,3.7,3.76,-0.43,2.07
600713,南京医药,常规,临界变盘,53.8,否,无,是,否,28.4,是,否,0.76,5.26,5.34,5.35,-1.45,3.03
002675,东诚药业,常规,临界变盘,53.7,否,无,是,否,25.0,是,否,0.98,12.74,13.12,13.13,-2.93,1.58
920011,晨光电机,次新,回踩确认,53.5,否,无,是,是,46.9,否,否,0.55,18.66,18.66,19.04,0.02,2.58
600507,方大特钢,常规,回踩确认,53.4,否,无,是,是,46.2,否,否,0.8,4.26,4.22,4.29,0.87,1.78
688098,申联生物,常规,回踩确认,53.4,否,无,是,否,34.0,是,否,1.1,8.35,8.41,8.34,-0.76,3.88
300918,南山智尚,常规,临界变盘,53.2,否,无,是,是,57.8,否,否,1.16,10.57,10.57,10.64,-0.01,2.72
000957,中通客车,常规,回踩确认,53.0,否,无,是,否,30.6,是,否,1.24,10.39,10.2,10.26,1.84,2.95
002276,万马股份,常规,临界变盘,53.0,否,无,是,是,51.2,否,否,1.73,10.4,10.29,10.29,1.02,1.78
603535,嘉诚国际,常规,回踩确认,52.9,否,无,是,是,53.1,否,否,0.94,6.4,6.35,6.22,0.71,2.15
002439,启明星辰,常规,回踩确认,52.9,否,无,是,否,28.7,是,否,1.22,13.5,13.82,13.95,-2.33,2.53
002304,洋河股份,常规,回踩确认,52.8,否,无,否,是,47.0,否,是,1.6,39.59,38.88,0.0,1.82,3.05
603027,千禾味业,常规,突破初现,52.8,否,无,是,是,40.1,否,否,1.02,7.5,7.44,7.48,0.87,2.0
603719,良品铺子,常规,回踩确认,52.8,否,无,是,否,36.4,否,是,1.28,9.65,9.6,9.82,0.53,4.33
301372,科净源,常规,突破初现,52.8,否,无,否,是,42.4,否,是,1.47,31.37,31.32,0.0,0.17,4.72
301386,未来电器,常规,临界变盘,52.6,否,无,是,是,39.2,否,否,1.06,20.23,20.35,20.54,-0.6,2.37
600839,四川长虹,常规,回踩确认,52.5,否,无,是,是,45.0,否,否,0.91,6.95,7.03,7.07,-1.14,1.87
000825,太钢不锈,常规,临界变盘,52.3,否,无,是,是,43.0,否,否,0.97,3.52,3.58,3.58,-1.62,1.46
600166,福田汽车,常规,回踩确认,52.2,否,无,是,否,26.9,是,否,0.83,2.9,2.89,2.9,0.36,4.75
601628,中国人寿,常规,临界变盘,52.2,否,无,是,是,38.2,否,否,0.8,39.17,39.31,37.87,-0.36,2.75
300349,金卡智能,常规,回踩确认,52.2,否,无,是,是,55.3,否,否,1.54,10.28,10.32,10.36,-0.43,2.68
600010,包钢股份,常规,临界变盘,52.2,否,无,是,是,40.2,否,否,0.83,2.21,2.26,2.2,-2.36,0.78
002526,山东矿机,常规,回踩确认,52.1,否,无,是,是,40.3,否,否,1.37,2.73,2.71,2.72,0.61,2.53
600797,浙大网新,常规,回踩确认,52.1,否,无,是,是,49.7,否,否,1.11,6.96,6.99,6.94,-0.39,2.75
002191,劲嘉股份,常规,临界变盘,52.1,否,无,是,否,27.3,是,否,0.81,3.64,3.72,3.69,-2.27,2.9
603848,好太太,常规,回踩确认,52.0,否,无,是,是,42.5,否,否,0.87,13.56,13.62,13.95,-0.48,2.71
300059,东方财富,常规,临界变盘,52.0,否,无,是,否,33.0,否,是,1.29,19.15,19.53,19.39,-1.94,3.27
688013,天臣医疗,常规,回踩确认,51.9,否,无,是,是,63.6,否,否,0.78,24.59,24.81,24.52,-0.9,2.36
