代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
601985,中国核电,临界变盘,54.4,是,Fib-55x2(110K),是,否,31.9,否,否,0.23,8.91,9.05,8.73,-1.5,0.75,常规
600377,宁沪高速,突破初现,50.0,否,无,是,否,30.0,是,否,0.25,12.49,12.18,12.38,2.58,3.59,常规
601916,浙商银行,回踩确认,35.0,否,无,是,否,32.3,否,否,0.21,2.94,2.99,3.04,-1.64,4.67,常规
600030,中信证券,临界变盘,35.0,否,无,是,否,34.9,否,否,0.18,27.67,28.24,28.25,-2.03,4.02,常规
601816,京沪高铁,回踩确认,35.0,否,无,是,否,33.0,否,否,0.23,4.84,4.96,4.9,-2.42,3.98,常规
600887,伊利股份,临界变盘,35.0,否,无,是,否,37.5,否,否,0.22,26.61,27.5,26.67,-3.22,3.33,常规
