代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
600179,安通控股,回踩确认,45.7,是,Fib-55x3(165K),是,否,37.1,否,否,0.89,4.62,4.55,4.65,1.58,4.12,新股
000401,金隅冀东,临界变盘,45.7,否,无,是,否,37.5,否,否,0.94,3.6,3.64,3.64,-1.18,0.53,新股
300177,中海达,临界变盘,45.5,否,无,是,是,54.2,否,否,1.06,6.45,6.55,6.57,-1.53,4.28,新股
002035,华帝股份,回踩确认,45.5,是,Fib-55x2(110K),是,否,37.0,否,否,0.62,4.62,4.74,4.78,-2.5,3.29,新股
002767,先锋电子,临界变盘,45.4,否,无,是,是,41.2,否,否,1.02,18.08,18.36,17.9,-1.53,4.3,新股
600761,安徽合力,回踩确认,45.4,是,Fib-144K,是,否,33.9,否,否,0.75,16.38,16.73,16.82,-2.07,3.79,新股
688118,普元信息,临界变盘,45.4,否,无,是,是,58.6,否,否,1.67,21.0,21.56,20.44,-2.59,3.23,新股
600282,南钢股份,临界变盘,45.3,否,无,是,否,24.2,否,否,0.71,4.74,4.74,4.74,-0.06,1.8,新股
000425,徐工机械,临界变盘,45.3,否,无,是,是,40.2,否,否,1.03,8.14,8.23,8.19,-1.07,4.79,新股
300702,天宇股份,回踩确认,45.3,是,Sym-49x4(196K),是,否,35.2,否,否,0.77,21.62,21.98,21.97,-1.64,4.23,新股
002575,群兴玩具,回踩确认,45.2,否,无,是,是,57.8,否,否,0.94,5.5,5.44,5.51,1.17,4.76,新股
000686,东北证券,临界变盘,45.2,否,无,是,否,32.5,否,否,0.98,8.11,8.13,8.03,-0.29,1.62,新股
600557,康缘药业,临界变盘,45.2,否,无,是,否,35.6,否,否,0.55,12.52,12.62,12.73,-0.81,1.1,新股
301068,大地海洋,回踩确认,45.1,否,无,是,是,44.6,否,否,0.94,27.45,27.9,28.12,-1.6,4.36,新股
300783,三只松鼠,突破初现,45.0,否,无,是,是,40.8,否,否,1.19,17.78,17.34,17.4,2.53,3.48,新股
001390,古麒绒材,回踩确认,45.0,否,无,是,是,50.4,否,否,0.78,17.19,16.94,17.39,1.47,4.57,新股
001238,浙江正特,回踩确认,45.0,否,无,是,是,45.8,否,否,0.61,24.82,24.48,24.28,1.41,4.64,新股
002256,兆新股份,回踩确认,45.0,否,无,是,是,49.6,否,否,0.88,3.3,3.35,3.39,-1.35,4.74,新股
603085,天成自控,临界变盘,45.0,否,无,是,是,41.7,否,否,0.81,10.13,10.3,10.34,-1.7,4.6,新股
300978,东箭科技,临界变盘,45.0,否,无,是,是,47.9,否,否,0.81,8.83,8.98,9.08,-1.72,4.69,新股
600981,苏豪汇鸿,临界变盘,45.0,否,无,是,是,47.9,否,否,0.89,2.48,2.52,2.53,-1.76,4.68,新股
002076,星光股份,临界变盘,45.0,否,无,是,是,38.5,否,否,0.9,2.14,2.18,2.18,-1.9,4.37,新股
002043,兔 宝 宝,回踩确认,45.0,否,无,是,是,41.0,否,否,0.63,12.73,12.99,13.07,-1.98,4.78,新股
300552,万集科技,临界变盘,45.0,否,无,是,是,57.8,否,否,1.23,22.07,22.53,22.59,-2.03,4.42,新股
600592,龙溪股份,临界变盘,45.0,否,无,是,是,59.3,否,否,0.9,14.96,15.31,15.16,-2.31,4.39,新股
002616,长青集团,临界变盘,45.0,是,Fib-55x2(110K),是,否,37.1,否,否,1.17,4.87,4.99,5.0,-2.47,3.77,新股
688533,上声电子,回踩确认,45.0,否,无,是,是,43.4,否,否,1.13,20.12,20.63,20.33,-2.47,3.55,新股
000528,柳    工,临界变盘,45.0,否,无,是,是,42.1,否,否,0.81,7.94,8.14,8.01,-2.51,4.3,新股
002337,赛象科技,临界变盘,45.0,否,无,是,是,43.0,否,否,0.98,4.73,4.85,4.81,-2.53,4.59,新股
000809,和展能源,临界变盘,45.0,否,无,是,是,42.3,否,否,1.37,3.37,3.47,3.48,-2.85,3.61,新股
603325,博隆技术,临界变盘,45.0,否,无,是,是,47.2,否,否,0.66,54.4,56.0,56.04,-2.86,3.68,新股
301290,东星医疗,临界变盘,45.0,否,无,是,是,41.3,否,否,0.76,28.09,28.94,29.05,-2.92,4.71,新股
603409,汇通控股,临界变盘,45.0,否,无,是,是,48.5,否,否,0.88,18.11,18.66,18.65,-2.93,3.48,新股
300869,康泰医学,临界变盘,45.0,否,无,是,是,44.9,否,否,0.82,11.22,11.56,11.22,-2.94,3.54,新股
300619,金银河,临界变盘,45.0,是,Fib-144K,否,是,53.3,否,否,0.98,27.21,28.04,0.0,-2.96,3.89,新股
600518,康美药业,临界变盘,45.0,否,无,是,是,46.3,否,否,0.95,1.38,1.42,1.36,-3.0,3.01,新股
002529,海源复材,临界变盘,45.0,否,无,是,是,39.3,否,否,1.09,7.06,7.29,7.29,-3.11,3.29,新股
600138,中青旅,临界变盘,45.0,否,无,是,是,39.9,否,否,1.0,7.32,7.56,7.1,-3.2,3.75,新股
300215,电科院,临界变盘,45.0,否,无,是,是,53.6,否,否,0.57,6.48,6.7,6.67,-3.24,3.84,新股
605298,必得科技,临界变盘,45.0,否,无,是,是,42.3,否,否,0.86,48.7,50.34,50.3,-3.26,3.2,新股
000652,泰达股份,临界变盘,44.8,否,无,是,否,34.1,否,否,1.05,3.49,3.53,3.52,-1.18,0.89,新股
600019,宝钢股份,临界变盘,44.7,否,无,是,否,30.7,否,否,0.84,5.86,5.86,5.86,0.07,2.06,新股
600987,航民股份,回踩确认,44.7,否,无,是,否,30.5,否,否,0.8,6.52,6.56,6.55,-0.57,1.55,新股
600420,国药现代,回踩确认,44.5,否,无,是,否,29.6,否,否,0.94,8.49,8.54,8.54,-0.58,1.6,新股
601500,通用股份,临界变盘,44.0,是,Fib-55x3(165K),否,否,32.4,否,否,1.1,3.96,3.98,0.0,-0.39,2.01,新股
002444,巨星科技,临界变盘,44.0,否,无,是,否,32.0,否,否,0.65,30.55,31.02,31.01,-1.53,0.87,新股
601866,中远海发,临界变盘,43.9,否,无,是,否,33.1,否,否,0.83,2.44,2.44,2.44,-0.06,2.39,新股
301283,聚胶股份,回踩确认,43.8,否,无,否,是,46.4,否,否,1.1,25.01,25.15,0.0,-0.57,1.92,新股
603309,维力医疗,回踩确认,43.6,否,无,是,否,33.3,否,否,1.17,11.27,11.27,11.27,-0.02,2.54,新股
603551,奥普科技,临界变盘,43.6,否,无,是,否,33.4,否,否,0.78,9.57,9.62,9.26,-0.48,2.1,新股
600827,百联股份,突破初现,43.4,否,无,是,否,24.5,否,否,0.84,7.84,7.75,7.82,1.13,1.49,新股
002510,天汽模,临界变盘,43.3,否,无,否,是,44.7,否,否,0.96,5.72,5.75,0.0,-0.58,2.1,新股
601800,中国交建,回踩确认,43.2,否,无,是,否,37.2,否,否,1.15,5.97,5.9,5.87,1.21,1.51,新股
600587,新华医疗,回踩确认,42.9,否,无,是,否,34.2,否,否,0.9,12.67,12.5,12.67,1.35,1.5,新股
601788,光大证券,临界变盘,42.9,否,无,是,否,27.9,否,否,0.99,14.65,14.85,14.39,-1.32,1.53,新股
605259,绿田机械,临界变盘,42.9,否,无,是,否,30.9,否,否,0.93,17.73,18.05,17.75,-1.79,1.06,新股
600022,山东钢铁,回踩确认,42.7,否,无,是,否,33.9,否,否,0.88,1.34,1.33,1.32,0.9,2.02,新股
600558,大西洋,回踩确认,42.7,否,无,是,否,36.3,否,否,0.65,4.8,4.86,4.9,-1.29,1.62,新股
002061,浙江交科,临界变盘,42.7,否,无,是,否,25.7,否,否,0.99,3.47,3.52,3.53,-1.44,1.47,新股
002736,国信证券,临界变盘,42.4,否,无,是,否,31.0,否,否,1.01,10.26,10.4,10.34,-1.37,1.65,新股
600315,上海家化,突破初现,42.2,否,无,否,否,35.7,否,是,1.51,18.62,18.29,0.0,1.83,3.27,新股
600528,中铁工业,回踩确认,42.2,否,无,是,否,32.1,否,否,1.23,6.96,6.85,6.93,1.64,1.49,新股
000709,河钢股份,临界变盘,42.0,否,无,是,否,30.2,否,否,1.05,2.1,2.11,2.14,-0.32,2.88,新股
300636,同和药业,回踩确认,41.9,否,无,是,否,31.0,否,否,1.08,6.83,6.85,6.97,-0.28,2.98,新股
600305,恒顺醋业,临界变盘,41.9,否,无,是,否,25.4,否,否,1.18,6.82,6.92,6.77,-1.45,1.78,新股
600820,隧道股份,临界变盘,41.7,否,无,是,否,24.9,否,否,0.82,5.45,5.55,5.55,-1.76,1.55,新股
601990,南京证券,突破初现,41.6,否,无,是,否,27.9,否,否,1.11,6.85,6.74,6.66,1.64,1.7,新股
600764,中国海防,突破初现,41.6,否,无,否,是,50.7,否,否,1.24,18.71,18.49,0.0,1.21,2.15,新股
002206,海 利 得,临界变盘,41.6,否,无,是,否,31.2,否,否,0.7,5.27,5.41,5.41,-2.59,0.79,新股
601686,友发集团,临界变盘,41.5,否,无,是,否,28.5,否,否,0.94,5.24,5.29,5.24,-0.96,2.43,新股
688213,思特威-W,临界变盘,41.5,否,无,否,否,34.9,是,否,0.79,92.97,96.15,0.0,-3.31,2.08,新股
600958,东方证券,突破初现,41.4,否,无,是,否,25.8,否,否,1.37,9.27,9.07,9.05,2.17,1.29,新股
300993,玉马科技,回踩确认,41.3,否,无,否,是,49.6,否,否,0.71,9.95,9.81,0.0,1.44,2.03,新股
603299,苏盐井神,回踩确认,41.3,否,无,是,否,31.2,否,否,0.67,8.93,8.86,8.82,0.8,2.67,新股
688389,普门科技,突破初现,41.3,否,无,是,否,34.4,否,否,0.87,11.18,11.16,11.01,0.19,3.27,新股
603053,成都燃气,临界变盘,41.3,否,无,是,否,28.5,否,否,0.82,8.87,8.97,8.77,-1.16,2.32,新股
000680,山推股份,回踩确认,41.2,否,无,是,否,31.2,否,否,1.03,10.6,10.7,10.7,-0.96,2.55,新股
603868,飞科电器,临界变盘,41.2,否,无,是,否,36.2,否,否,0.79,31.69,32.1,32.05,-1.28,2.23,新股
600502,安徽建工,临界变盘,41.1,否,无,是,否,30.2,否,否,0.82,4.46,4.51,4.47,-1.15,2.41,新股
688425,铁建重工,回踩确认,41.0,否,无,是,否,30.7,否,否,1.07,4.05,3.98,3.96,1.67,1.95,新股
605507,国邦医药,回踩确认,41.0,否,无,是,否,31.7,否,否,1.24,15.58,15.34,15.87,1.59,2.02,新股
600633,浙数文化,回踩确认,41.0,否,无,是,否,44.3,否,否,1.18,10.47,10.52,10.74,-0.46,3.14,新股
600976,健民集团,回踩确认,40.8,否,无,是,否,37.4,否,否,0.71,28.05,28.51,28.83,-1.62,2.05,新股
300743,天地数码,临界变盘,40.8,否,无,否,是,45.2,否,否,1.18,14.78,15.08,0.0,-1.97,1.7,新股
603899,晨光股份,突破初现,40.7,否,无,是,否,29.7,否,否,0.86,23.16,23.04,23.14,0.54,3.19,新股
600269,赣粤高速,突破初现,40.4,否,无,是,否,31.7,否,否,1.19,3.92,3.89,3.82,0.84,3.02,新股
300018,中元股份,临界变盘,40.4,否,无,否,是,39.9,否,否,0.7,11.94,12.0,0.0,-0.48,3.36,新股
000778,新兴铸管,回踩确认,40.3,否,无,是,否,32.7,否,否,1.08,3.71,3.64,3.65,1.86,2.01,新股
000543,皖能电力,回踩确认,40.2,否,无,否,否,27.3,是,否,0.78,7.4,7.25,0.0,2.06,3.85,新股
000881,中广核技,临界变盘,40.2,否,无,是,否,38.1,否,否,0.88,6.64,6.69,6.65,-0.81,3.13,新股
601186,中国铁建,临界变盘,40.1,否,无,是,否,27.8,否,否,1.1,6.11,6.27,6.01,-2.54,1.44,新股
603697,有友食品,突破初现,40.0,否,无,否,否,36.7,否,是,1.8,9.93,9.63,0.0,3.09,4.55,新股
002267,陕天然气,临界变盘,40.0,否,无,是,否,28.2,否,否,0.55,7.33,7.34,7.31,-0.13,3.88,新股
601336,新华保险,突破初现,39.9,是,Fib-144K,否,否,36.8,否,否,0.93,62.25,61.54,0.0,1.15,2.88,新股
603877,太平鸟,临界变盘,39.9,否,无,是,否,35.2,否,否,0.65,12.69,13.01,12.67,-2.43,1.6,新股
002170,芭田股份,突破初现,39.6,否,无,是,否,28.9,否,否,0.83,11.73,11.65,11.85,0.65,3.51,新股
002351,漫步者,临界变盘,39.6,否,无,是,否,33.4,否,否,0.84,10.14,10.22,10.19,-0.77,3.41,新股
300239,东宝生物,临界变盘,39.6,否,无,是,否,34.5,否,否,0.95,5.09,5.19,5.19,-1.91,2.26,新股
002060,广东建工,临界变盘,39.6,否,无,是,否,29.0,否,否,1.03,3.18,3.26,3.26,-2.41,1.73,新股
600157,永泰能源,临界变盘,39.5,否,无,是,否,28.1,否,否,0.76,1.55,1.59,1.59,-2.45,1.76,新股
301296,新巨丰,临界变盘,39.3,否,无,是,否,37.4,否,否,1.18,6.46,6.55,6.34,-1.33,2.94,新股
301215,中汽股份,临界变盘,39.3,否,无,是,否,32.7,否,否,1.09,5.36,5.44,5.43,-1.42,2.87,新股
300659,中孚信息,临界变盘,39.2,否,无,否,是,55.1,否,否,0.86,10.33,10.33,0.0,-0.04,4.29,新股
002533,金杯电工,临界变盘,39.2,否,无,是,否,37.8,否,否,1.67,11.26,11.44,11.47,-1.55,2.77,新股
300957,贝泰妮,突破初现,39.1,否,无,否,是,40.0,否,否,1.23,33.61,32.61,0.0,3.08,1.29,新股
002182,宝武镁业,回踩确认,39.1,否,无,否,是,54.2,否,否,1.25,12.0,12.02,0.0,-0.18,4.2,新股
301109,军信股份,回踩确认,39.1,否,无,是,否,31.1,否,否,0.92,12.97,13.03,13.02,-0.45,3.93,新股
600055,万东医疗,回踩确认,38.9,否,无,否,是,46.1,否,否,1.12,10.88,11.14,0.0,-2.36,2.07,新股
601881,中国银河,突破初现,38.8,否,无,是,否,32.2,否,否,1.03,12.43,12.16,12.05,2.26,2.24,新股
600406,国电南瑞,回踩确认,38.8,否,无,是,否,32.7,否,否,1.21,22.71,22.89,22.97,-0.78,3.71,新股
688193,仁度生物,临界变盘,38.8,否,无,是,否,36.1,否,否,1.02,47.84,48.67,48.39,-1.72,2.76,新股
000708,中信特钢,临界变盘,38.7,否,无,是,否,30.4,否,否,0.83,13.59,13.81,13.81,-1.58,2.93,新股
301019,宁波色母,临界变盘,38.6,否,无,否,是,43.8,否,否,0.83,15.29,15.59,0.0,-1.95,2.62,新股
000726,鲁  泰Ａ,临界变盘,38.6,否,无,是,否,32.2,否,否,1.02,5.91,6.03,6.03,-2.04,2.5,新股
688509,正元地信,临界变盘,38.4,否,无,否,是,44.1,否,否,1.38,4.24,4.32,0.0,-1.81,2.84,新股
002381,双箭股份,临界变盘,38.3,否,无,是,否,33.5,否,否,1.22,5.6,5.6,5.66,0.01,4.68,新股
601368,绿城水务,临界变盘,38.3,否,无,是,否,28.4,否,否,1.13,4.53,4.59,4.5,-1.3,3.39,新股
000516,国际医学,回踩确认,38.3,否,无,否,是,38.3,否,否,1.03,4.05,4.13,0.0,-1.88,2.79,新股
603639,海利尔,临界变盘,38.1,否,无,是,否,34.9,否,否,0.55,10.66,10.78,10.79,-1.07,3.7,新股
002252,上海莱士,临界变盘,38.0,否,无,否,是,39.4,否,否,0.85,4.92,5.02,0.0,-2.08,2.72,新股
000868,安凯客车,临界变盘,38.0,否,无,否,是,42.0,否,否,0.98,3.56,3.65,0.0,-2.52,2.28,新股
001382,新亚电缆,临界变盘,37.9,否,无,否,是,44.4,否,否,1.7,17.23,17.82,0.0,-3.3,1.53,新股
600894,广日股份,回踩确认,37.8,否,无,是,否,30.1,否,否,0.49,7.43,7.49,7.45,-0.75,4.15,新股
601188,龙江交通,临界变盘,37.8,否,无,是,否,30.3,否,否,0.85,2.95,3.0,2.98,-1.52,3.37,新股
300470,中密控股,回踩确认,37.7,否,无,是,否,33.6,否,否,0.99,27.95,27.72,27.71,0.83,4.08,新股
600993,马应龙,临界变盘,37.6,否,无,是,否,30.4,否,否,0.96,23.06,23.76,23.49,-2.93,2.03,新股
600223,福瑞达,临界变盘,37.5,否,无,否,是,41.9,否,否,0.97,5.68,5.72,0.0,-0.71,4.27,新股
002508,老板电器,临界变盘,37.5,否,无,是,否,36.1,否,否,0.82,16.05,16.4,16.38,-2.13,2.87,新股
603066,音飞储存,临界变盘,37.4,否,无,是,否,32.6,否,否,0.79,9.13,9.18,9.18,-0.51,4.51,新股
600918,中泰证券,临界变盘,37.3,否,无,是,否,30.3,否,否,0.85,5.67,5.79,5.55,-2.05,3.02,新股
603955,大千生态,临界变盘,37.2,否,无,否,是,51.8,否,否,0.99,21.17,21.34,0.0,-0.78,4.34,新股
603197,保隆科技,临界变盘,37.0,否,无,是,否,36.3,否,否,0.98,30.27,30.78,29.99,-1.65,3.53,新股
300021,大禹节水,突破初现,36.9,否,无,是,否,31.0,否,否,0.84,4.09,4.05,4.06,0.93,4.29,新股
002480,新筑股份,临界变盘,36.9,否,无,是,否,32.7,否,否,1.45,5.37,5.52,5.51,-2.64,2.61,新股
600023,浙能电力,临界变盘,36.8,否,无,是,否,28.4,否,否,1.48,4.88,4.97,4.82,-1.82,3.48,新股
301575,艾芬达,回踩确认,36.7,否,无,否,否,37.7,否,否,0.76,26.68,26.71,0.0,-0.1,1.22,新股
301187,欧圣电气,临界变盘,36.6,否,无,否,是,56.3,否,否,0.84,14.35,14.78,0.0,-2.9,2.48,新股
001308,康冠科技,临界变盘,36.5,否,无,是,否,28.4,否,否,0.97,18.13,18.47,18.58,-1.83,3.56,新股
603676,卫信康,回踩确认,36.3,否,无,是,否,32.4,否,否,0.71,9.08,9.19,9.19,-1.16,4.32,新股
002239,奥特佳,临界变盘,36.3,否,无,是,否,32.1,否,否,1.03,2.55,2.6,2.6,-2.03,3.45,新股
003037,三和管桩,临界变盘,36.3,否,无,否,是,42.7,否,否,0.7,5.82,5.97,0.0,-2.45,3.04,新股
300124,汇川技术,回踩确认,36.1,否,无,是,否,31.4,否,否,1.13,59.31,59.76,60.68,-0.76,4.8,新股
002230,科大讯飞,回踩确认,36.1,否,无,是,否,42.8,否,否,1.13,39.5,40.28,40.41,-1.94,3.63,新股
600168,武汉控股,临界变盘,35.7,否,无,是,否,30.1,否,否,0.9,4.45,4.53,4.41,-1.79,3.94,新股
601801,皖新传媒,临界变盘,35.7,否,无,是,否,35.0,否,否,1.02,5.24,5.36,5.35,-2.24,3.5,新股
002864,盘龙药业,临界变盘,35.7,否,无,否,是,42.6,否,否,0.87,21.48,22.07,0.0,-2.68,3.03,新股
301339,通行宝,临界变盘,35.5,否,无,是,否,37.4,否,否,0.69,10.98,11.29,11.15,-2.76,3.04,新股
601138,工业富联,回踩确认,35.1,否,无,是,否,37.6,否,否,1.31,63.69,65.25,64.83,-2.39,3.58,新股
600004,白云机场,突破初现,35.0,否,无,是,否,31.9,否,否,0.81,7.89,7.66,7.78,2.97,3.41,新股
002985,北摩高科,突破初现,35.0,否,无,否,是,49.7,否,否,1.19,27.71,27.09,0.0,2.31,4.77,新股
300963,中洲特材,回踩确认,35.0,否,无,否,是,62.2,否,否,1.11,11.63,11.47,0.0,1.44,4.6,新股
002895,川恒股份,临界变盘,35.0,否,无,是,否,37.5,否,否,0.84,33.6,34.1,33.86,-1.47,4.74,新股
002688,金河生物,临界变盘,35.0,否,无,是,否,33.6,否,否,0.93,5.28,5.39,5.38,-1.99,3.99,新股
603518,锦泓集团,临界变盘,35.0,否,无,是,否,37.4,否,否,0.91,8.12,8.29,8.29,-2.01,4.37,新股
300422,博世科,回踩确认,35.0,否,无,是,否,37.2,否,否,1.12,4.18,4.27,4.27,-2.03,4.49,新股
301508,中机认检,临界变盘,35.0,否,无,是,否,35.1,否,否,1.14,24.52,25.03,25.04,-2.05,3.96,新股
300278,华昌达,回踩确认,35.0,否,无,否,是,51.7,否,否,0.91,3.59,3.68,0.0,-2.38,3.72,新股
600292,电投水电,临界变盘,35.0,否,无,是,否,30.4,否,否,0.84,12.05,12.37,12.42,-2.57,3.86,新股
300722,新余国科,临界变盘,35.0,否,无,否,是,52.9,否,否,0.92,22.47,23.1,0.0,-2.72,3.47,新股
300213,佳讯飞鸿,临界变盘,35.0,否,无,否,是,50.6,否,否,0.92,6.5,6.68,0.0,-2.75,4.49,新股
002573,清新环境,临界变盘,35.0,否,无,是,否,32.6,否,否,0.71,3.25,3.35,3.37,-3.12,2.9,新股
002775,文科股份,临界变盘,35.0,否,无,否,是,44.9,否,否,1.18,3.57,3.69,0.0,-3.19,2.98,新股
601369,陕鼓动力,临界变盘,35.0,是,Fib-55x2(110K),否,否,34.4,否,否,1.39,8.55,8.84,0.0,-3.33,3.56,新股
688739,成大生物,临界变盘,35.0,是,Sym-49x4(196K),否,否,33.5,否,否,1.02,20.44,21.16,0.0,-3.41,2.97,新股
688098,申联生物,临界变盘,35.0,否,无,是,否,34.0,否,否,1.1,8.35,8.65,8.34,-3.43,3.88,新股
600054,黄山旅游,临界变盘,35.0,否,无,是,否,28.7,否,否,0.94,11.54,11.96,11.26,-3.48,3.88,新股
002233,塔牌集团,临界变盘,35.0,否,无,是,否,29.9,否,否,1.32,7.09,7.35,7.16,-3.49,2.84,新股
600567,山鹰国际,临界变盘,31.9,否,无,否,否,33.2,否,否,0.74,1.34,1.37,0.0,-2.33,0.89,新股
000099,中信海直,回踩确认,27.8,否,无,否,否,42.8,否,否,1.29,13.87,13.82,0.0,0.35,4.52,新股
300320,海达股份,临界变盘,27.0,否,无,否,否,36.8,否,否,1.33,8.13,8.36,0.0,-2.76,2.46,新股
301206,三元生物,临界变盘,26.6,否,无,否,否,28.9,否,否,0.81,23.41,24.13,0.0,-2.97,2.41,新股
600597,光明乳业,突破初现,25.0,否,无,否,否,32.4,否,否,0.73,7.06,6.95,0.0,1.65,4.63,新股
002127,南极电商,临界变盘,25.0,否,无,否,否,32.9,否,否,0.95,2.98,3.08,0.0,-3.16,3.47,新股
002594,比亚迪,临界变盘,25.0,否,无,否,否,30.7,否,否,0.59,87.4,90.32,0.0,-3.24,3.42,新股
