代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
600163,中闽能源,突破初现,59.4,是,Fib-55x2(110K),是,是,47.2,否,否,0.94,5.26,5.12,5.14,2.67,1.59,新股
600173,卧龙新能,临界变盘,59.4,是,Fib-144K,是,是,41.8,否,否,1.25,6.17,6.32,6.13,-2.4,1.83,新股
002152,广电运通,回踩确认,59.3,否,无,是,否,35.7,否,是,1.67,9.85,9.76,9.65,0.93,1.37,新股
002310,东方新能,回踩确认,59.0,是,Fib-55x2(110K),是,是,51.6,否,否,1.28,2.3,2.3,2.29,-0.02,4.37,新股
002097,山河智能,临界变盘,58.8,否,无,否,是,49.3,否,是,1.39,7.48,7.53,0.0,-0.69,1.8,新股
605333,沪光股份,回踩确认,58.7,是,Fib-55x3(165K),是,是,52.4,否,否,0.69,17.49,17.78,17.49,-1.61,2.92,新股
300982,苏文电能,回踩确认,58.4,是,Sym-40x3(120K),是,是,53.5,否,否,1.35,14.89,15.18,15.17,-1.9,2.72,新股
603059,倍加洁,突破初现,58.0,是,Sym-47x3(141K),是,是,50.3,否,否,0.87,25.02,24.38,24.64,2.63,2.18,新股
688581,安杰思,回踩确认,57.6,否,无,是,否,33.2,是,否,0.81,51.06,51.39,52.26,-0.63,2.33,新股
600231,凌钢股份,临界变盘,57.5,是,Fib-144K,是,是,42.4,否,否,0.73,1.75,1.78,1.78,-1.5,3.49,新股
603194,中力股份,临界变盘,57.4,否,无,是,否,26.9,是,否,1.11,34.29,34.7,34.73,-1.18,1.84,新股
600009,上海机场,突破初现,57.3,否,无,是,否,36.0,否,是,1.52,23.87,23.44,23.31,1.86,1.23,新股
688334,西高院,临界变盘,57.3,否,无,是,是,40.5,否,否,1.5,18.4,18.4,18.23,-0.01,1.07,新股
601702,华峰铝业,回踩确认,57.2,是,Fib-144K,是,是,50.9,否,否,0.68,15.75,15.93,16.07,-1.13,3.97,新股
002372,伟星新材,临界变盘,57.2,是,Fib-144K,是,是,39.8,否,否,0.67,8.67,8.82,8.4,-1.7,3.42,新股
600072,中船科技,临界变盘,57.2,否,无,否,是,45.6,否,是,2.83,9.07,9.27,0.0,-2.19,0.93,新股
300466,赛摩智能,临界变盘,57.0,是,Fib-144K,是,是,43.6,否,否,0.93,7.41,7.56,7.47,-1.98,3.23,新股
603656,泰禾智能,回踩确认,56.9,是,Fib-144K,是,否,38.0,否,否,1.14,17.21,17.31,17.36,-0.59,0.66,新股
300047,天源迪科,回踩确认,56.7,否,无,否,是,48.7,否,是,1.66,9.49,9.45,0.0,0.41,2.93,新股
603018,华设集团,突破初现,56.5,是,Fib-144K,是,否,29.2,否,否,1.14,5.31,5.25,5.28,1.06,0.32,新股
601608,中信重工,回踩确认,56.5,否,无,是,是,48.8,否,否,1.18,4.8,4.77,4.81,0.72,0.67,新股
600575,淮河能源,回踩确认,56.4,否,无,是,否,31.7,是,否,1.0,3.29,3.33,3.34,-1.28,2.18,新股
605011,杭州热电,临界变盘,56.4,否,无,否,否,36.4,是,是,1.65,17.15,17.63,0.0,-2.7,2.73,新股
002597,金禾实业,临界变盘,56.3,否,无,是,否,36.6,否,是,1.55,21.07,21.18,20.66,-0.51,2.96,新股
